Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,343,Regions Financial,Banking,United States,10930.0,1250,141040.0,14700.0
2009,922,Regions Financial,Banking,United States,9640.0,-5600,146250.0,2380.0
2010,749,Regions Financial,Banking,United States,9090.0,-1030,142320.0,7930.0
2011,806,Regions Financial,Banking,United States,8220.0,-539.0,132351.0,9408.0
2012,912,Regions Financial,Banking,United States,6395.0,-215.0,127050.0,9054.0
2013,568,Regions Financial,Banking,United States,6003.0,1120.0,121347.0,11816.0
2014,573,Regions Financial,Banking,United States,5562.0,1122.0,118129.0,15970.0
2015,628,Regions Financial,Banking,United States,5423.0,1155.0,120395.0,12824.0
2016,588,Regions Financial,Banking,United States,5695.0,1101.0,125539.0,11908.0
2017,546,Regions Financial,Banking,United States,5805.0,1163.0,126704.0,17404.0
2018,557,Regions Financial,Banking,United States,6132.0,1376.0,122913.0,21699.0
2019,589,Regions Financial,Banking,United States,6518.0,1543.0,128802.0,15521.0
2020,641,Regions Financial,Banking,United States,6459.0,1350.0,133542.0,10288.0
2021,564,Regions Financial,Banking,United States,6352.0,1094.0,147389.0,20366.0
2022,577,Regions Financial,Banking,United States,6635.0,2521.0,162938.0,20027.0
