Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,122,Iberdrola,Utilities,Spain,25500.0,3440,97590.0,72780.0
2009,87,Iberdrola,Utilities,Spain,35090.0,3980,114810.0,32420.0
2010,88,Iberdrola,Utilities,Spain,35150.0,3940,125210.0,42160.0
2011,113,Iberdrola,Utilities,Spain,40738.0,3843.2,121026.0,45013.0
2012,131,Iberdrola,Utilities,Spain,40995.0,3632.8,119897.0,35988.0
2013,124,Iberdrola,Utilities,Spain,45120.0,3747.6,121690.0,33634.0
2014,133,Iberdrola,Utilities,Spain,43556.0,3414.3,127338.0,44062.0
2015,151,Iberdrola,Utilities,Spain,39836.0,3184.2,113468.0,42310.0
2016,139,Iberdrola,Utilities,Spain,34841.0,2685.3,113697.0,44087.0
2017,145,Iberdrola,Utilities,Spain,32318.0,2992.2,112548.0,46426.0
2018,146,Iberdrola,Utilities,Spain,37766.0,3289.0,138022.0,49383.0
2019,145,Iberdrola,Utilities,Spain,41381.0,3556.0,129219.0,55653.0
2020,120,Iberdrola,Utilities,Spain,39691.0,4110.1,136623.0,62469.0
2021,103,Iberdrola,Utilities,Spain,37784.0,4116.4,149907.0,86359.0
2022,136,Iberdrola,Utilities,Spain,46232.0,4629.5,161200.0,70257.0
