Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,595,Aisin Seiki,Consumer Durables,Japan,20240.0,570,17140.0,11500.0
2009,467,Aisin Seiki,Consumer Durables,Japan,27060.0,920,20790.0,4630.0
2010,839,Aisin Seiki,Consumer Durables,Japan,22740.0,-260,17220.0,7740.0
2011,818,Aisin Seiki,Consumer Durables,Japan,21983.0,177.7,20810.0,10203.0
2012,506,Aisin Seiki,Consumer Durables,Japan,27157.0,837.8,23380.0,10549.0
2013,552,Aisin Seiki,Consumer Durables,Japan,27834.0,670.4,24689.0,10565.0
2014,545,Aisin Seiki,Consumer Durables,Japan,28085.0,978.8,24039.0,10214.0
2015,628,Aisin Seiki,Consumer Durables,Japan,27508.0,707.6,23322.0,10956.0
2016,555,Aisin Seiki,Consumer Durables,Japan,26233.0,763.0,24195.0,11375.0
2017,477,Aisin Seiki,Consumer Durables,Japan,31706.0,1098.7,27694.0,13159.0
2018,501,Aisin Seiki,Consumer Durables,Japan,35269.0,1214.0,33173.0,14857.0
2019,569,Aisin Seiki,Consumer Durables,Japan,36613.0,1099.0,32460.0,10995.0
2020,898,Aisin Seiki,Consumer Durables,Japan,34809.0,221.3,36984.0,7851.0
2021,972,Aisin Seiki,Consumer Durables,Japan,32006.0,154.4,37378.0,10031.0
2022,727,Aisin Seiki,Consumer Durables,Japan,35402.0,1514.7,34912.0,8214.0
