Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1191,Hoya,Technology Hardware & Equipment,Japan,3320.0,710,3790.0,11200.0
2009,906,Hoya,Technology Hardware & Equipment,Japan,4830.0,820,6510.0,8020.0
2010,1187,Hoya,Technology Hardware & Equipment,Japan,4660.0,260,5610.0,10920.0
2011,1322,Hoya,Consumer Durables,Japan,4425.0,405.3,5534.0,10077.0
2012,1203,Hoya,Consumer Durables,Japan,5018.0,716.7,6548.0,9805.0
2013,1480,Hoya,Consumer Durables,Japan,4400.0,522.1,6685.0,8154.0
2014,1302,Hoya,Consumer Durables,Japan,4184.0,705.4,6515.0,13277.0
2015,1199,Hoya,Consumer Durables,Japan,4513.0,817.9,6095.0,17528.0
2016,1182,Hoya,Consumer Durables,Japan,4225.0,771.4,5833.0,15949.0
2017,1160,Hoya,Consumer Durables,Japan,4365.0,796.6,5567.0,18101.0
2018,1166,Hoya,Consumer Durables,Japan,4833.0,897.7,6118.0,21555.0
2019,1102,Hoya,Technology Hardware & Equipment,Japan,5073.0,1017.0,6560.0,25228.0
2020,971,Hoya,Technology Hardware & Equipment,Japan,5347.0,1133.4,7485.0,34708.0
2021,958,Hoya,Technology Hardware & Equipment,Japan,4979.0,1071.3,7880.0,46504.0
2022,1084,Hoya,Technology Hardware & Equipment,Japan,5855.0,1420.8,8355.0,36799.0
