Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,131,PepsiCo,"Food, Drink & Tobacco",United States,39470.0,5660,34630.0,111420.0
2009,115,PepsiCo,"Food, Drink & Tobacco",United States,43250.0,5140,35990.0,74920.0
2010,106,PepsiCo,"Food, Drink & Tobacco",United States,43230.0,5950,39850.0,99580.0
2011,86,PepsiCo,"Food, Drink & Tobacco",United States,57838.0,6320.0,68153.0,102567.0
2012,88,PepsiCo,"Food, Drink & Tobacco",United States,66504.0,6443.0,72882.0,101259.0
2013,88,PepsiCo,"Food, Drink & Tobacco",United States,65492.0,6178.0,74638.0,118856.0
2014,93,PepsiCo,"Food, Drink & Tobacco",United States,66415.0,6735.0,77478.0,126182.0
2015,99,PepsiCo,"Food, Drink & Tobacco",United States,66683.0,6504.0,70509.0,143018.0
2016,90,PepsiCo,"Food, Drink & Tobacco",United States,62698.0,5162.0,70019.0,147302.0
2017,84,PepsiCo,"Food, Drink & Tobacco",United States,62801.0,6329.0,74129.0,159406.0
2018,102,PepsiCo,"Food, Drink & Tobacco",United States,64038.0,4882.0,81887.0,138141.0
2019,86,PepsiCo,"Food, Drink & Tobacco",United States,64983.0,12585.0,75466.0,178157.0
2020,87,PepsiCo,"Food, Drink & Tobacco",United States,68159.0,7239.0,85062.0,183552.0
2021,70,PepsiCo,"Food, Drink & Tobacco",United States,71312.0,7496.0,91224.0,199176.0
2022,86,PepsiCo,"Food, Drink & Tobacco",United States,79470.0,7618.0,92377.0,238126.0
