Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1049,Yamada Denki,Retailing,Japan,12290.0,370,4650.0,8500.0
2009,845,Yamada Denki,Retailing,Japan,17710.0,490,7500.0,3550.0
2010,814,Yamada Denki,Retailing,Japan,19220.0,340,7810.0,6690.0
2011,805,Yamada Denki,Retailing,Japan,21573.0,598.6,9512.0,6794.0
2012,801,Yamada Denki,Retailing,Japan,25904.0,851.2,11001.0,5957.0
2013,1000,Yamada Denki,Retailing,Japan,22172.0,703.8,11202.0,3987.0
2014,1487,Yamada Denki,Retailing,Japan,18728.0,-7.5,11815.0,2941.0
2015,1631,Yamada Denki,Retailing,Japan,16858.0,248.8,10259.0,3105.0
2016,1699,Yamada Denki,Retailing,Japan,13388.0,177.9,10355.0,4917.0
2017,1574,Yamada Denki,Retailing,Japan,14361.0,305.0,10483.0,4800.0
2018,1798,Yamada Denki,Retailing,Japan,14200.0,269.0,11054.0,5017.0
2019,1837,Yamada Denki,Retailing,Japan,14387.0,99.0,11051.0,3816.0
2020,1890,Yamada Denki,Retailing,Japan,14920.0,244.0,11346.0,4216.0
2021,1522,Yamada Denki,Retailing,Japan,15704.0,398.2,12760.0,4317.0
2022,1949,Yamada Denki,Retailing,Japan,15128.0,514.9,11569.0,2466.0
