Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,910,National Bank of Abu Dhabi,Banking,United Arab Emirates,1750.0,570,27490.0,9750.0
2009,812,National Bank of Abu Dhabi,Banking,United Arab Emirates,2280.0,680,37960.0,4570.0
2010,770,National Bank of Abu Dhabi,Banking,United Arab Emirates,2410.0,820,53580.0,6480.0
2011,825,National Bank of Abu Dhabi,Banking,United Arab Emirates,2595.0,937.4,57553.0,7488.0
2012,772,National Bank of Abu Dhabi,Banking,United Arab Emirates,2806.0,944.0,69598.0,9494.0
2013,691,National Bank of Abu Dhabi,Banking,United Arab Emirates,3057.0,1114.0,81833.0,12449.0
2014,639,National Bank of Abu Dhabi,Banking,United Arab Emirates,3208.0,1223.3,88500.0,17947.0
2015,655,National Bank of Abu Dhabi,Banking,United Arab Emirates,3556.0,1467.8,102396.0,17020.0
2016,682,National Bank of Abu Dhabi,Banking,United Arab Emirates,3672.0,1369.6,110690.0,12751.0
2017,660,National Bank of Abu Dhabi,Banking,United Arab Emirates,4001.0,1364.7,114545.0,16094.0
