Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,168,China Telecom,Telecommunications Services,China,22420.0,3480,51630.0,61890.0
2009,139,China Telecom,Telecommunications Services,China,24460.0,3250,54590.0,27660.0
2010,473,China Telecom,Telecommunications Services,China,27420.0,130,62390.0,36690.0
2011,157,China Telecom,Telecommunications services,China,32488.0,2328.6,61817.0,47181.0
2012,155,China Telecom,Telecommunications services,China,38933.0,2622.0,66102.0,47230.0
2013,139,China Telecom,Telecommunications services,China,44864.0,2365.0,87421.0,42030.0
2014,150,China Telecom,Telecommunications services,China,52315.0,2850.8,89734.0,37352.0
2015,144,China Telecom,Telecommunications services,China,52653.0,2867.6,90470.0,53869.0
2016,124,China Telecom,Telecommunications services,China,52707.0,3197.0,96951.0,41006.0
2017,142,China Telecom,Telecommunications services,China,53047.0,2733.9,93873.0,40414.0
2018,174,China Telecom,Telecommunications services,China,54198.0,2736.7,101535.0,38560.0
2019,168,China Telecom,Telecommunications Services,China,57139.0,3244.0,96623.0,42503.0
2020,174,China Telecom,Telecommunications Services,China,54425.0,2990.9,100993.0,27874.0
2021,204,China Telecom,Telecommunications Services,China,57043.0,3002.6,109345.0,27707.0
2022,194,China Telecom,Telecommunications Services,China,68150.0,4016.7,121101.0,35225.0
