Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1792,Bank Muscat,Banking,Oman,1030.0,190,15170.0,2780.0
2011,1873,Bank Muscat,Banking,Oman,920.0,263.9,15169.0,2821.0
2012,1830,Bank Muscat,Banking,Oman,961.0,305.3,18743.0,2960.0
2013,1678,Bank Muscat,Banking,Oman,1078.0,361.7,20538.0,3330.0
2014,1629,Bank Muscat,Banking,Oman,1118.0,395.3,22044.0,4013.0
2015,1576,Bank Muscat,Banking,Oman,1261.0,424.0,25270.0,3131.0
2016,1425,Bank Muscat,Banking,Oman,1346.0,456.9,33423.0,2594.0
2017,1507,Bank Muscat,Banking,Oman,1393.0,458.6,28104.0,2818.0
2018,1655,Bank Muscat,Banking,Oman,1527.0,463.2,29363.0,2895.0
2019,1651,Bank Muscat,Banking,Oman,1541.0,469.0,31921.0,3215.0
2020,1712,Bank Muscat,Banking,Oman,1623.0,449.3,31923.0,2734.0
2021,1708,Bank Muscat,Banking,Oman,1552.0,446.4,32350.0,3621.0
