Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,367,Illinois Tool Works,Capital Goods,United States,16170.0,1870,15530.0,25860.0
2009,375,Illinois Tool Works,Capital Goods,United States,15870.0,1520,15210.0,13880.0
2010,381,Illinois Tool Works,Capital Goods,United States,13880.0,950,16080.0,23160.0
2011,414,Illinois Tool Works,Capital Goods,United States,15870.0,1527.2,16250.0,27219.0
2012,372,Illinois Tool Works,Capital Goods,United States,17787.0,2071.4,17984.0,28015.0
2013,364,Illinois Tool Works,Capital Goods,United States,17924.0,2870.0,19309.0,28318.0
2014,415,Illinois Tool Works,Capital Goods,United States,15350.0,1679.0,19966.0,34924.0
2015,424,Illinois Tool Works,Capital Goods,United States,14484.0,2957.0,17678.0,36496.0
2016,460,Illinois Tool Works,Capital Goods,United States,13337.0,1909.0,15437.0,37767.0
2017,465,Illinois Tool Works,Capital Goods,United States,13599.0,2035.0,15201.0,45535.0
2018,535,Illinois Tool Works,Capital Goods,United States,14587.0,1803.0,16163.0,49388.0
2019,521,Illinois Tool Works,Capital Goods,United States,14768.0,2563.0,14870.0,51761.0
2020,511,Illinois Tool Works,Capital Goods,United States,14109.0,2521.0,15068.0,51597.0
2021,509,Illinois Tool Works,Capital Goods,United States,12574.0,2109.0,15612.0,70901.0
2022,581,Illinois Tool Works,Capital Goods,United States,14455.0,2694.0,16077.0,63425.0
