Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1130,Taisei,Construction,Japan,15940.0,220,16830.0,2840.0
2009,1031,Taisei,Construction,Japan,17150.0,240,17390.0,1900.0
2010,1208,Taisei,Construction,Japan,16850.0,-250,16320.0,2260.0
2011,1231,Taisei,Construction,Japan,15429.0,227.1,15569.0,2591.0
2012,1342,Taisei,Construction,Japan,14654.0,130.9,16240.0,2981.0
2013,1325,Taisei,Construction,Japan,15988.0,14.3,17698.0,3162.0
2014,1285,Taisei,Construction,Japan,15104.0,307.4,14467.0,5191.0
2015,1226,Taisei,Construction,Japan,15328.0,351.9,13548.0,6608.0
2016,939,Taisei,Construction,Japan,13346.0,525.2,13469.0,8092.0
2017,879,Taisei,Construction,Japan,13350.0,915.2,13738.0,8410.0
2018,767,Taisei,Construction,Japan,14305.0,1144.0,18155.0,12425.0
2019,899,Taisei,Construction,Japan,14487.0,978.0,15213.0,9309.0
2020,894,Taisei,Construction,Japan,15852.0,1091.9,16585.0,6689.0
2021,989,Taisei,Construction,Japan,14534.0,1035.6,16954.0,8041.0
2022,1553,Taisei,Construction,Japan,13752.0,691.2,15514.0,5471.0
