Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,533,Kyocera,Semiconductors,Japan,10930.0,910,18130.0,15740.0
2009,418,Kyocera,Technology Hardware & Equipment,Japan,12930.0,1070,19860.0,10970.0
2010,554,Kyocera,Technology Hardware & Equipment,Japan,11590.0,300,17820.0,16200.0
2011,604,Kyocera,Consumer Durables,Japan,11490.0,429.0,19651.0,19094.0
2012,426,Kyocera,Consumer Durables,Japan,15242.0,1473.1,23280.0,16817.0
2013,492,Kyocera,Consumer Durables,Japan,14386.0,958.6,23985.0,17110.0
2014,531,Kyocera,Consumer Durables,Japan,14596.0,930.8,25721.0,16159.0
2015,552,Kyocera,Consumer Durables,Japan,13963.0,882.0,24788.0,20870.0
2016,531,Kyocera,Consumer Durables,Japan,12541.0,837.6,26419.0,18720.0
2017,522,Kyocera,Consumer Durables,Japan,12895.0,1108.0,26518.0,19884.0
2018,612,Kyocera,Consumer Durables,Japan,14229.0,738.0,29686.0,22817.0
2019,655,Kyocera,Technology Hardware & Equipment,Japan,14908.0,642.0,27533.0,22119.0
2020,549,Kyocera,Technology Hardware & Equipment,Japan,14707.0,990.8,30107.0,19587.0
2021,603,Kyocera,Technology Hardware & Equipment,Japan,14074.0,659.2,31276.0,23852.0
2022,666,Kyocera,Technology Hardware & Equipment,Japan,16219.0,1329.9,31038.0,19157.0
