Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,981,Eisai,Drugs & Biotechnology,Japan,5740.0,600,6460.0,10350.0
2009,991,Eisai,Drugs & Biotechnology,Japan,7360.0,-170,10850.0,9210.0
2010,679,Eisai,Drugs & Biotechnology,Japan,8030.0,490,10910.0,11580.0
2011,849,Eisai,Drugs & Biotechnology,Japan,8594.0,431.6,11112.0,10883.0
2012,757,Eisai,Drugs & Biotechnology,Japan,9250.0,810.8,11927.0,11925.0
2013,840,Eisai,Drugs & Biotechnology,Japan,7828.0,706.8,11660.0,13037.0
2014,1275,Eisai,Drugs & Biotechnology,Japan,6045.0,448.2,9312.0,10844.0
2015,1344,Eisai,Drugs & Biotechnology,Japan,5298.0,379.3,8759.0,20836.0
2016,1345,Eisai,Drugs & Biotechnology,Japan,4679.0,370.8,8464.0,19404.0
2017,1304,Eisai,Drugs & Biotechnology,Japan,4884.0,506.5,8920.0,14907.0
2018,1687,Eisai,Drugs & Biotechnology,Japan,5082.0,259.1,9305.0,19463.0
2019,1350,Eisai,Drugs & Biotechnology,Japan,5680.0,577.0,9351.0,16295.0
2020,1061,Eisai,Drugs & Biotechnology,Japan,6070.0,886.7,9675.0,20181.0
2021,1082,Eisai,Drugs & Biotechnology,Japan,6630.0,877.4,9962.0,19083.0
